         216605363 function calls (206138951 primitive calls) in 79.292 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   548111    2.578    0.000    4.385    0.000 cache.py:74(add)
  6955608    2.538    0.000    3.626    0.000 dsn.py:28(join)
13645625/13602654    2.170    0.000    4.031    0.000 {method 'join' of 'str' objects}
3182496/2626587    1.375    0.000   21.163    0.000 memo2.py:35(get)
555689/552601    1.353    0.000   16.948    0.000 di.py:142(invoke)
833155/258599    1.281    0.000    2.236    0.000 cache.py:49(group_by)
  5273866    1.250    0.000    1.250    0.000 {method 'split' of 'str' objects}
2924041/1399137    1.087    0.000    2.083    0.000 reflection.py:337(types)
  1411503    1.060    0.000    2.831    0.000 module.py:32(full_joined)
  1105201    1.046    0.000    3.427    0.000 query.py:196(values)
14366050/14365805    1.044    0.000    1.044    0.000 {built-in method builtins.len}
548111/440    0.985    0.000    2.654    0.006 finder.py:90(full_pathfy)
548111/440    0.984    0.000    1.231    0.003 entry.py:164(__loads)
   157474    0.981    0.000    2.721    0.000 runtime.py:93(new_context)
  1098416    0.974    0.000    4.518    0.000 node.py:382(_values)
  8117930    0.929    0.000    0.994    0.000 {built-in method builtins.isinstance}
1110048/1105193    0.908    0.000   12.648    0.000 di.py:359(resolve)
  2520563    0.886    0.000    1.531    0.000 module.py:89(parsed)
  1159382    0.882    0.000    0.882    0.000 {method 'sub' of 're.Pattern' objects}
  2775780    0.881    0.000    1.998    0.000 di.py:321(__symbolize)
7030333/3447105    0.863    0.000   16.871    0.000 {built-in method builtins.getattr}
  1927765    0.857    0.000    1.447    0.000 dsn.py:16(elements)
  1308087    0.854    0.000    4.680    0.000 module.py:146(join)
   115460    0.804    0.000    2.328    0.000 query.py:77(factory)
  2025944    0.795    0.000    1.742    0.000 path.py:57(joined)
  5003816    0.771    0.000    1.195    0.000 di.py:104(_acceptable_symbol)
  3428320    0.730    0.000    1.007    0.000 reflection.py:355(origin)
884137/824171    0.715    0.000   17.140    0.000 resolver.py:33(resolve)
  2243479    0.687    0.000    2.025    0.000 module.py:125(__init__)
336707/163869    0.677    0.000   49.088    0.000 procedure.py:136(__run_action)
  1207688    0.670    0.000    1.743    0.000 path.py:10(join)
   187194    0.663    0.000    7.505    0.000 finder.py:110(__make_scopes)
      880    0.654    0.001    0.654    0.001 decoder.py:351(raw_decode)
1032529/1013617    0.610    0.000   18.528    0.000 node.py:348(_children)
  1661762    0.596    0.000    2.053    0.000 di.py:300(can_resolve)
   476204    0.590    0.000    1.351    0.000 finder.py:124(__allow_scope)
  1154423    0.586    0.000    2.072    0.000 __init__.py:183(sub)
   537075    0.579    0.000    4.115    0.000 finder.py:193(__each_find_raw)
  5648818    0.558    0.000    0.558    0.000 {method 'pop' of 'list' objects}
1032529/1013617    0.540    0.000   17.080    0.000 query.py:134(children)
  3331673    0.538    0.000    0.538    0.000 module.py:57(to_fullyname)
  3609793    0.538    0.000    0.538    0.000 cache.py:14(exists)
   750031    0.528    0.000    2.694    0.000 path.py:170(shift)
  2347735    0.527    0.000    0.527    0.000 __init__.py:1013(__getitem__)
   291109    0.511    0.000    0.674    0.000 reflection.py:321(__init__)
   629924    0.504    0.000    0.630    0.000 node.py:31(__init__)
45948/45947    0.495    0.000    0.539    0.000 {built-in method builtins.__build_class__}
  1376838    0.489    0.000    1.116    0.000 module.py:53(local_joined)
  1098416    0.478    0.000    5.142    0.000 node.py:168(tokens)
  1777397    0.474    0.000    0.776    0.000 cache.py:34(by)
3182496/2626587    0.470    0.000   20.098    0.000 memo2.py:16(get)
   356424    0.468    0.000    0.679    0.000 finder.py:130(__aligned_children)
  2224946    0.457    0.000    0.965    0.000 di.py:131(__find_symbol)
  1604814    0.446    0.000    1.701    0.000 path.py:47(elements)
   336707    0.428    0.000    1.979    0.000 procedure.py:176(__make_event)
  1167893    0.420    0.000    0.622    0.000 __init__.py:330(_compile)
  1979919    0.420    0.000    0.432    0.000 entry.py:26(name)
884137/824171    0.419    0.000   17.763    0.000 query.py:30(__resolve)
   281039    0.404    0.000    0.442    0.000 __init__.py:1027(__iter__)
   348556    0.400    0.000    3.544    0.000 finder.py:59(by_standard)
   481496    0.396    0.000    0.880    0.000 node.py:178(prop_keys)
   475962    0.396    0.000    2.168    0.000 string.py:15(snakelize)
336754/163869    0.392    0.000   47.065    0.000 middleware.py:110(__emit)
336707/163869    0.390    0.000   48.600    0.000 procedure.py:150(__emit)
  1458488    0.375    0.000    0.580    0.000 {built-in method builtins.hasattr}
   113275    0.372    0.000    4.217    0.000 traits.py:59(actualize)
344484/83062    0.358    0.000   16.835    0.000 node.py:236(procedural)
127151/110756    0.355    0.000   15.944    0.000 query.py:145(factory)
   187194    0.351    0.000   13.084    0.000 finder.py:94(find_by_symbolic)
711866/404810    0.344    0.000    0.542    0.000 reflection.py:370(attrs)
336707/163869    0.342    0.000   50.053    0.000 procedure.py:118(__action)
   157474    0.340    0.000    0.659    0.000 runtime.py:165(__init__)
   687188    0.333    0.000    1.320    0.000 path.py:76(last)
  4140186    0.329    0.000    0.329    0.000 base.py:208(active)
226062/66681    0.326    0.000    0.829    0.000 sequence.py:32(expand)
   342301    0.320    0.000    0.516    0.000 node.py:64(__eq__)
  2494145    0.317    0.000    0.317    0.000 {method 'append' of 'list' objects}
  2740969    0.296    0.000    0.296    0.000 node.py:88(full_path)
1110048/1105193    0.291    0.000   10.037    0.000 di.py:83(resolve)
779637/668780    0.284    0.000    3.561    0.000 node.py:129(scope)
181516/179692    0.283    0.000    0.631    0.000 runtime.py:262(call)
   299669    0.278    0.000    0.440    0.000 reflection.py:240(__getattr__)
626143/613476    0.265    0.000    4.107    0.000 query.py:52(by)
   141561    0.264    0.000    0.264    0.000 {method 'remove' of 'collections.deque' objects}
      440    0.257    0.001    0.257    0.001 db.py:114(has_module)
509464/496797    0.253    0.000    4.478    0.000 node.py:288(_by)
299669/288903    0.249    0.000   13.723    0.000 trait.py:132(<lambda>)
   468797    0.241    0.000    2.501    0.000 path.py:103(parent_tag)
    89811    0.241    0.000    3.379    0.000 primary.py:810(is_decl_local_var)
  1142900    0.238    0.000    0.238    0.000 db.py:64(__contains__)
   187292    0.238    0.000    0.745    0.000 reflection.py:115(stack)
   293369    0.238    0.000    0.368    0.000 node.py:430(one_of)
   508459    0.231    0.000    4.034    0.000 finder.py:160(__find_raw)
  1114018    0.230    0.000    0.725    0.000 di.py:32(__inner_binded)
   445185    0.230    0.000    0.829    0.000 node.py:278(_exists)
445058/441442    0.225    0.000   10.099    0.000 node.py:300(_at)
  2738568    0.223    0.000    0.223    0.000 path.py:34(__init__)
  1464702    0.222    0.000    0.222    0.000 {method 'find' of 'str' objects}
   687188    0.221    0.000    0.322    0.000 path.py:112(__break_tag)
  1110048    0.219    0.000    0.942    0.000 di.py:21(can_resolve)
173365/135169    0.217    0.000   14.092    0.000 defer.py:55(__getattribute__)
   196752    0.217    0.000    2.749    0.000 query.py:66(parent)
   241984    0.208    0.000    2.303    0.000 statement_compound.py:346(_dig_embedder)
  1667502    0.202    0.000    0.202    0.000 di.py:311(__can_resolve)
   293936    0.200    0.000    4.035    0.000 reflections.py:60(type_is)
  1429203    0.200    0.000    0.200    0.000 {method 'items' of 'dict' objects}
  1016331    0.197    0.000    0.281    0.000 node.py:415(as_a)
  2471300    0.192    0.000    0.421    0.000 <frozen _collections_abc>:873(__iter__)
   158233    0.191    0.000    0.503    0.000 utils.py:497(__getitem__)
   356424    0.187    0.000    0.222    0.000 entry.py:43(children)
  2020242    0.186    0.000    0.186    0.000 procedure.py:94(__stack)
   144789    0.183    0.000   16.297    0.000 node.py:255(__prop_expand)
   128689    0.181    0.000    1.730    0.000 query.py:205(factory)
   289970    0.181    0.000    1.145    0.000 statement_compound.py:305(decorators)
    36788    0.180    0.000    8.488    0.000 reflections.py:425(on_relay)
   123564    0.180    0.000    4.857    0.000 environment.py:1272(render)
   198674    0.179    0.000    0.288    0.000 trait.py:84(implements)
   123564    0.171    0.000    5.977    0.000 render.py:59(render)
   430173    0.171    0.000    2.120    0.000 node.py:98(classification)
336754/163869    0.168    0.000   47.151    0.000 middleware.py:99(emit)
   916686    0.167    0.000    0.167    0.000 {method 'count' of 'str' objects}
   198674    0.165    0.000    0.488    0.000 reflection.py:191(impl)
   905905    0.165    0.000    0.266    0.000 node.py:405(is_a)
21467/21445    0.165    0.000   13.486    0.001 py2cpp.py:832(on_relay)
   360427    0.165    0.000    0.275    0.000 dsn.py:4(elem_counts)
  1208293    0.163    0.000    0.163    0.000 {method 'values' of 'dict' objects}
    23846    0.163    0.000    0.549    0.000 template.py:283(_normalize_props)
    79858    0.159    0.000    0.159    0.000 reflection.py:397(extends)
82922/204    0.159    0.000   65.648    0.322 procedure.py:72(__exec_impl)
    23675    0.155    0.000    0.277    0.000 template.py:49(__init__)
     1677    0.141    0.000    0.141    0.000 {built-in method _io.open}
   710140    0.137    0.000    0.137    0.000 db.py:18(__getitem__)
   253785    0.134    0.000    0.217    0.000 procedure.py:212(__stack_pop)
    45789    0.130    0.000    0.969    0.000 node.py:477(dirty_proxify)
   234855    0.130    0.000    0.227    0.000 procedure.py:200(__is_prop_list_by)
      440    0.130    0.000    7.169    0.016 query.py:16(__init__)
   187194    0.128    0.000    0.380    0.000 module.py:101(expanded)
