         68508122 function calls (65184661 primitive calls) in 24.793 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   168211    1.048    0.000    1.634    0.000 cache.py:79(add)
  1797520    0.670    0.000    0.937    0.000 dsn.py:28(join)
3926281/3915203    0.590    0.000    0.988    0.000 {method 'join' of 'str' objects}
775480/596479    0.439    0.000    6.271    0.000 memo2.py:38(get)
  2255517    0.418    0.000    0.418    0.000 {method 'split' of 'str' objects}
249549/229829    0.411    0.000    5.296    0.000 resolver.py:35(resolve)
165849/164952    0.390    0.000    5.515    0.000 di.py:142(invoke)
   663825    0.378    0.000    0.378    0.000 {method 'sub' of 're.Pattern' objects}
3825233/3824908    0.325    0.000    0.325    0.000 {built-in method builtins.len}
  2403717    0.306    0.000    0.329    0.000 {built-in method builtins.isinstance}
168211/127    0.299    0.000    0.819    0.006 finder.py:90(full_pathfy)
104724/52836    0.277    0.000   13.914    0.000 procedure.py:182(__run_action)
771694/388592    0.270    0.000    0.531    0.000 reflection.py:332(types)
   148532    0.267    0.000    1.228    0.000 node.py:177(prop_keys)
245466/75593    0.267    0.000    0.539    0.000 cache.py:53(group_by)
331306/329895    0.257    0.000    4.307    0.000 di.py:355(resolve)
   661630    0.257    0.000    0.925    0.000 __init__.py:179(sub)
   828456    0.255    0.000    0.578    0.000 di.py:317(__symbolize)
   347653    0.250    0.000    0.702    0.000 module.py:30(full_joined)
168211/127    0.243    0.000    0.582    0.005 entry.py:160(__loads)
   522842    0.243    0.000    0.386    0.000 dsn.py:16(elements)
2179679/1015621    0.241    0.000    5.484    0.000 {built-in method builtins.getattr}
   513122    0.240    0.000    0.240    0.000 error.py:64(__enter__)
   283369    0.222    0.000    0.374    0.000 embed.py:109(get_from_method)
36262/30279    0.221    0.000    4.869    0.000 query.py:145(factory)
   283369    0.217    0.000    0.669    0.000 embed.py:198(dig_for_method)
  1493374    0.215    0.000    0.339    0.000 di.py:104(_acceptable_symbol)
   322246    0.209    0.000    1.156    0.000 module.py:142(join)
   330776    0.207    0.000    1.178    0.000 string.py:15(snakelize)
   666476    0.200    0.000    0.306    0.000 __init__.py:280(_compile)
   559262    0.199    0.000    0.346    0.000 module.py:85(parsed)
   994855    0.199    0.000    0.281    0.000 reflection.py:350(origin)
   505010    0.192    0.000    0.436    0.000 path.py:55(joined)
   148532    0.189    0.000    0.255    0.000 node.py:209(__embed_classes)
   359978    0.185    0.000    0.434    0.000 path.py:8(join)
  1790200    0.172    0.000    0.172    0.000 {method 'pop' of 'list' objects}
