         7279318 function calls (6904418 primitive calls) in 2.626 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    23741    0.112    0.000    0.189    0.000 cache.py:74(add)
   199161    0.084    0.000    0.116    0.000 dsn.py:28(join)
464102/462442    0.072    0.000    0.155    0.000 {method 'join' of 'str' objects}
      145    0.060    0.000    0.060    0.000 {built-in method builtins.compile}
18713/18607    0.045    0.000    0.672    0.000 di.py:142(invoke)
 23741/14    0.044    0.000    0.118    0.008 finder.py:90(full_pathfy)
534157/533957    0.038    0.000    0.038    0.000 {built-in method builtins.len}
   168255    0.038    0.000    0.038    0.000 {method 'split' of 'str' objects}
81342/65396    0.037    0.000    0.587    0.000 memo2.py:35(get)
   319236    0.035    0.000    0.038    0.000 {built-in method builtins.isinstance}
293224/182302    0.033    0.000    0.484    0.000 {built-in method builtins.getattr}
    40617    0.032    0.000    0.082    0.000 module.py:32(full_joined)
82847/40004    0.031    0.000    0.059    0.000 reflection.py:337(types)
 23741/14    0.031    0.000    0.041    0.003 entry.py:164(__loads)
    93456    0.030    0.000    0.067    0.000 di.py:321(__symbolize)
24955/8054    0.030    0.000    0.058    0.000 cache.py:49(group_by)
37374/37205    0.030    0.000    0.590    0.000 di.py:359(resolve)
     4401    0.027    0.000    0.074    0.000 runtime.py:93(new_context)
    35420    0.026    0.000    0.026    0.000 {method 'sub' of 're.Pattern' objects}
   168476    0.026    0.000    0.040    0.000 di.py:104(_acceptable_symbol)
    72903    0.026    0.000    0.044    0.000 module.py:89(parsed)
    37634    0.025    0.000    0.135    0.000 module.py:146(join)
    55241    0.024    0.000    0.041    0.000 dsn.py:16(elements)
    42653    0.024    0.000    0.070    0.000 path.py:10(join)
   239119    0.023    0.000    0.023    0.000 {method 'pop' of 'list' objects}
23839/20816    0.023    0.000    0.527    0.000 resolver.py:33(resolve)
1922/1921    0.021    0.000    0.027    0.000 {built-in method builtins.__build_class__}
    96551    0.021    0.000    0.028    0.000 reflection.py:355(origin)
    15272    0.020    0.000    0.030    0.000 finder.py:130(__aligned_children)
    55946    0.020    0.000    0.069    0.000 di.py:300(can_resolve)
    49896    0.020    0.000    0.044    0.000 path.py:57(joined)
9610/4688    0.020    0.000    1.485    0.000 procedure.py:136(__run_action)
    63174    0.019    0.000    0.057    0.000 module.py:125(__init__)
     5076    0.019    0.000    0.204    0.000 finder.py:110(__make_scopes)
    14242    0.018    0.000    0.042    0.000 finder.py:124(__allow_scope)
   112170    0.018    0.000    0.018    0.000 module.py:57(to_fullyname)
    21390    0.018    0.000    0.022    0.000 node.py:31(__init__)
    34678    0.018    0.000    0.061    0.000 __init__.py:183(sub)
     9885    0.017    0.000    0.022    0.000 reflection.py:321(__init__)
   110558    0.017    0.000    0.017    0.000 cache.py:14(exists)
    14653    0.016    0.000    0.115    0.000 finder.py:193(__each_find_raw)
    22562    0.016    0.000    0.090    0.000 path.py:170(shift)
    26946    0.015    0.000    0.073    0.000 query.py:196(values)
    32256    0.015    0.000    0.031    0.000 nodes.py:169(iter_child_nodes)
    26827    0.015    0.000    0.091    0.000 node.py:382(_values)
     6441    0.015    0.000    0.027    0.000 lexer.py:669(tokeniter)
24465/23877    0.015    0.000    0.523    0.000 node.py:348(_children)
    71307    0.015    0.000    0.015    0.000 entry.py:26(name)
    74912    0.014    0.000    0.031    0.000 di.py:131(__find_symbol)
    61183    0.014    0.000    0.014    0.000 __init__.py:1013(__getitem__)
24465/23877    0.014    0.000    0.488    0.000 query.py:134(children)
    49398    0.013    0.000    0.022    0.000 cache.py:34(by)
    38482    0.013    0.000    0.032    0.000 module.py:53(local_joined)
       28    0.013    0.000    0.013    0.000 decoder.py:351(raw_decode)
    47393    0.013    0.000    0.049    0.000 path.py:47(elements)
81342/65396    0.012    0.000    0.560    0.000 memo2.py:16(get)
    26827    0.012    0.000    0.107    0.000 node.py:168(tokens)
     9610    0.012    0.000    0.057    0.000 procedure.py:176(__make_event)
      145    0.012    0.000    0.012    0.000 {built-in method _io.open}
    35035    0.012    0.000    0.022    0.000 __init__.py:330(_compile)
    14206    0.012    0.000    0.063    0.000 string.py:15(snakelize)
     9541    0.012    0.000    0.099    0.000 finder.py:59(by_standard)
23839/20816    0.012    0.000    0.543    0.000 query.py:30(__resolve)
    13639    0.012    0.000    0.026    0.000 node.py:178(prop_keys)
    93039    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
9610/4688    0.011    0.000    1.471    0.000 procedure.py:150(__emit)
9610/4688    0.011    0.000    1.426    0.000 middleware.py:110(__emit)
