         5854691 function calls (5660064 primitive calls) in 1.717 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.717    1.717 transpile.py:77(run)
        1    0.000    0.000    1.717    1.717 py2cpp.py:52(translate)
  68666/1    0.015    0.000    1.717    1.717 error.py:38(wrapper)
    890/1    0.001    0.000    1.717    1.717 procedure.py:63(exec)
    890/1    0.003    0.000    1.717    1.717 procedure.py:81(__exec_impl)
10832/4774    0.007    0.000    1.661    0.000 procedure.py:117(__process)
10832/4774    0.007    0.000    1.623    0.000 procedure.py:127(__action)
10832/4774    0.024    0.000    1.608    0.000 procedure.py:186(__run_action)
10832/4774    0.007    0.000    1.538    0.000 procedure.py:201(__emit_proxy)
10832/4774    0.011    0.000    1.535    0.000 eventemitter.py:80(emit)
     2428    0.002    0.000    1.195    0.000 symbols.py:115(type_of)
      889    0.000    0.000    1.021    0.001 symbols.py:255(__resolve_procedural)
      889    0.000    0.000    1.021    0.001 symbols.py:293(resolve)
      127    0.000    0.000    0.771    0.006 py2cpp.py:307(on_move_assign)
      127    0.000    0.000    0.770    0.006 py2cpp.py:313(proc_move_assign_single)
58311/25287    0.038    0.000    0.761    0.000 node.py:121(scope)
    33497    0.013    0.000    0.613    0.000 statement_compound.py:203(domain_name)
    29972    0.006    0.000    0.556    0.000 statement_compound.py:214(scope_part)
15262/6349    0.008    0.000    0.504    0.000 symbol.py:544(attrs)
     9600    0.008    0.000    0.494    0.000 symbol.py:571(_shared_origin)
    19200    0.005    0.000    0.483    0.000 symbol.py:451(org_fullyname)
    19352    0.003    0.000    0.481    0.000 statement_compound.py:208(fullyname)
     5601    0.002    0.000    0.469    0.000 symbols.py:198(resolve)
5770/5601    0.003    0.000    0.467    0.000 symbols.py:216(__resolve_raw)
    28485    0.016    0.000    0.464    0.000 statement_compound.py:467(symbol)
     5935    0.016    0.000    0.461    0.000 finder.py:100(find_by_symbolic)
3137/1067    0.004    0.000    0.424    0.000 sequence.py:34(expand)
      930    0.001    0.000    0.396    0.000 reflection.py:236(unpack_templates)
      665    0.001    0.000    0.380    0.001 reflection.py:188(returns)
2071/1838    0.001    0.000    0.377    0.000 symbol.py:63(__getattr__)
      128    0.000    0.000    0.368    0.003 resolve_unknown.py:74(<lambda>)
      128    0.001    0.000    0.368    0.003 di.py:148(invoke)
      128    0.000    0.000    0.366    0.003 resolve_unknown.py:50(resolver)
      454    0.002    0.000    0.335    0.001 symbols.py:494(on_func_call)
     1775    0.001    0.000    0.310    0.000 symbols.py:143(__from_reference)
    33735    0.023    0.000    0.307    0.000 statement_compound.py:283(_attr_symbol)
    32841    0.008    0.000    0.307    0.000 statement_compound.py:275(actual_symbol)
80459/78050    0.010    0.000    0.295    0.000 {built-in method builtins.getattr}
      591    0.003    0.000    0.237    0.000 py2cpp.py:375(on_relay)
    51415    0.007    0.000    0.213    0.000 {built-in method builtins.hasattr}
      309    0.001    0.000    0.166    0.001 py2cpp.py:512(on_func_call)
     1235    0.003    0.000    0.162    0.000 symbols.py:421(on_relay)
      821    0.001    0.000    0.146    0.000 py2cpp.py:436(on_variable)
