         13875808 function calls (13585008 primitive calls) in 3.818 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    28559    0.183    0.000    0.191    0.000 {built-in method builtins.__build_class__}
   230627    0.175    0.000    0.325    0.000 query.py:67(parent)
   622243    0.158    0.000    0.225    0.000 dsn.py:28(join)
   178231    0.148    0.000    0.231    0.000 query.py:205(values)
229461/80070    0.138    0.000    2.328    0.000 node.py:119(scope)
   431623    0.115    0.000    0.268    0.000 path.py:58(joined)
   118941    0.098    0.000    0.154    0.000 query.py:139(children)
828231/827760    0.094    0.000    0.109    0.000 {method 'join' of 'str' objects}
   230627    0.092    0.000    0.436    0.000 node.py:150(parent)
   266484    0.086    0.000    0.155    0.000 node.py:378(as_a)
   178231    0.077    0.000    0.323    0.000 node.py:360(_values)
   119466    0.076    0.000    0.879    0.000 statement_compound.py:278(_attr_symbol)
   809439    0.072    0.000    0.077    0.000 {built-in method builtins.isinstance}
   135441    0.070    0.000    0.070    0.000 {method 'sub' of 're.Pattern' objects}
   528213    0.063    0.000    0.063    0.000 memo.py:71(get)
   528213    0.061    0.000    0.116    0.000 memo.py:24(wrapper)
   528213    0.060    0.000    0.060    0.000 memo.py:11(__call__)
   162446    0.057    0.000    0.354    0.000 node.py:267(_by)
   178231    0.056    0.000    0.396    0.000 node.py:145(tokens)
    99987    0.055    0.000    1.380    0.000 statement_compound.py:455(symbol)
   118941    0.055    0.000    0.278    0.000 node.py:326(_children)
   528213    0.053    0.000    0.053    0.000 memo.py:23(decorator)
   166868    0.051    0.000    0.198    0.000 query.py:53(by)
   147787    0.050    0.000    0.182    0.000 node.py:257(_exists)
   135177    0.048    0.000    0.169    0.000 __init__.py:182(sub)
   166868    0.047    0.000    0.092    0.000 query.py:31(__resolve)
   119343    0.045    0.000    1.880    0.000 statement_compound.py:202(domain_name)
   304683    0.042    0.000    0.063    0.000 node.py:368(is_a)
   321110    0.039    0.000    0.039    0.000 cache.py:18(exists)
    10832    0.039    0.000    2.074    0.000 procedure.py:235(__put_log_action)
    67349    0.038    0.000    0.214    0.000 string.py:15(snakelize)
   469270    0.038    0.000    0.040    0.000 node.py:80(full_path)
