python -m unittest tests.unit.rogw.tranp.implements.cpp.transpiler.test_py2cpp --
         6714292 function calls (6403354 primitive calls) in 2.408 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    23635    0.104    0.000    0.175    0.000 cache.py:78(add)
      211    0.078    0.000    0.078    0.000 {built-in method builtins.compile}
406849/405237    0.060    0.000    0.147    0.000 {method 'join' of 'str' objects}
   161990    0.052    0.000    0.077    0.000 dsn.py:28(join)
61202/48548    0.046    0.000    0.482    0.000 memo2.py:38(get)
17979/17840    0.043    0.000    0.668    0.000 di.py:142(invoke)
 23635/15    0.042    0.000    0.114    0.008 finder.py:90(full_pathfy)
   327410    0.035    0.000    0.037    0.000 {built-in method builtins.isinstance}
475782/475609    0.034    0.000    0.034    0.000 {built-in method builtins.len}
   146498    0.032    0.000    0.032    0.000 {method 'split' of 'str' objects}
 23635/15    0.032    0.000    0.042    0.003 entry.py:164(__loads)
298816/225900    0.032    0.000    0.316    0.000 {built-in method builtins.getattr}
    54312    0.032    0.000    0.032    0.000 {method 'sub' of 're.Pattern' objects}
    91376    0.030    0.000    0.067    0.000 di.py:321(__symbolize)
37524/37311    0.030    0.000    0.596    0.000 di.py:359(resolve)
   166766    0.026    0.000    0.039    0.000 di.py:104(_acceptable_symbol)
20127/6914    0.024    0.000    0.047    0.000 cache.py:53(group_by)
    53213    0.023    0.000    0.079    0.000 __init__.py:183(sub)
     3643    0.023    0.000    0.061    0.000 runtime.py:93(new_context)
58664/28208    0.022    0.000    0.042    0.000 reflection.py:347(types)
    28438    0.022    0.000    0.057    0.000 module.py:32(full_joined)
21044/17346    0.021    0.000    0.485    0.000 resolver.py:33(resolve)
   224238    0.021    0.000    0.021    0.000 {method 'pop' of 'list' objects}
    46858    0.021    0.000    0.043    0.000 nodes.py:169(iter_child_nodes)
    38597    0.021    0.000    0.045    0.000 path.py:10(join)
     9178    0.020    0.000    0.036    0.000 lexer.py:669(tokeniter)
7176/3745    0.020    0.000    1.302    0.000 procedure.py:183(__run_action)
    53681    0.020    0.000    0.067    0.000 di.py:300(can_resolve)
    15485    0.019    0.000    0.029    0.000 finder.py:130(__aligned_children)
    45643    0.019    0.000    0.032    0.000 dsn.py:16(elements)
    54662    0.019    0.000    0.033    0.000 module.py:89(parsed)
1712/1711    0.019    0.000    0.025    0.000 {built-in method builtins.__build_class__}
   109355    0.018    0.000    0.018    0.000 module.py:57(to_fullyname)
    25495    0.017    0.000    0.091    0.000 module.py:146(join)
    53230    0.017    0.000    0.028    0.000 __init__.py:330(_compile)
    24168    0.016    0.000    0.089    0.000 string.py:15(snakelize)
    20006    0.016    0.000    0.020    0.000 node.py:31(__init__)
    40140    0.016    0.000    0.034    0.000 path.py:57(joined)
     9388    0.015    0.000    0.020    0.000 reflection.py:331(__init__)
    75249    0.015    0.000    0.032    0.000 di.py:131(__find_symbol)
    69021    0.015    0.000    0.021    0.000 reflection.py:365(origin)
      198    0.015    0.000    0.015    0.000 {built-in method _io.open}
    45148    0.014    0.000    0.041    0.000 module.py:125(__init__)
    94504    0.014    0.000    0.014    0.000 cache.py:18(exists)
    68299    0.013    0.000    0.014    0.000 entry.py:26(name)
       30    0.013    0.000    0.013    0.000 decoder.py:351(raw_decode)
    18717    0.013    0.000    0.059    0.000 path.py:170(shift)
    80878    0.012    0.000    0.016    0.000 nodes.py:147(iter_fields)
     3253    0.012    0.000    0.165    0.000 finder.py:110(__make_scopes)
     8776    0.012    0.000    0.027    0.000 finder.py:124(__allow_scope)
    21051    0.012    0.000    0.090    0.000 node.py:382(_values)
    52292    0.012    0.000    0.012    0.000 __init__.py:1013(__getitem__)
    10938    0.012    0.000    0.083    0.000 finder.py:193(__each_find_raw)
    21196    0.011    0.000    0.076    0.000 query.py:196(values)
18306/17834    0.011    0.000    0.410    0.000 node.py:348(_children)
    40958    0.011    0.000    0.018    0.000 cache.py:38(by)
    90808    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
18306/17834    0.011    0.000    0.385    0.000 query.py:134(children)
61202/48548    0.010    0.000    0.461    0.000 memo2.py:19(get)
21044/17346    0.010    0.000    0.498    0.000 query.py:30(__resolve)
    39185    0.010    0.000    0.039    0.000 path.py:47(elements)
    28437    0.010    0.000    0.022    0.000 module.py:53(local_joined)
37524/37311    0.010    0.000    0.450    0.000 di.py:83(resolve)
    21051    0.009    0.000    0.102    0.000 node.py:168(tokens)
15741/151    0.009    0.000    0.117    0.001 visitor.py:35(visit)
3242/2834    0.009    0.000    0.362    0.000 query.py:145(factory)
7176/3745    0.009    0.000    1.256    0.000 eventemitter.py:77(emit)
     6719    0.009    0.000    0.010    0.000 __init__.py:1027(__iter__)
     7619    0.009    0.000    0.079    0.000 finder.py:59(by_standard)
     7176    0.009    0.000    0.041    0.000 procedure.py:224(__make_event)
    37695    0.008    0.000    0.024    0.000 di.py:32(__inner_binded)
    28437    0.008    0.000    0.008    0.000 {method 'match' of 're.Pattern' objects}
     9935    0.008    0.000    0.018    0.000 node.py:178(prop_keys)
    15485    0.008    0.000    0.010    0.000 entry.py:43(children)
     4226    0.008    0.000    0.011    0.000 nodes.py:129(__init__)
    16501    0.008    0.000    0.030    0.000 path.py:76(last)
     6498    0.008    0.000    0.024    0.000 reflection.py:115(stack)
    14736    0.008    0.000    0.011    0.000 node.py:54(__repr__)
    35755    0.008    0.000    0.011    0.000 {built-in method builtins.hasattr}
     2433    0.007    0.000    0.082    0.000 traits.py:59(actualize)
    22654    0.007    0.000    0.090    0.000 node.py:98(classification)
    37524    0.007    0.000    0.031    0.000 di.py:21(can_resolve)
14672/8180    0.007    0.000    0.011    0.000 reflection.py:380(attrs)
7249/2243    0.007    0.000    0.302    0.000 node.py:236(procedural)
11776/646    0.007    0.000    0.028    0.000 nodes.py:195(find_all)
     3643    0.007    0.000    0.014    0.000 runtime.py:165(__init__)
    82362    0.007    0.000    0.007    0.000 path.py:34(__init__)
    83693    0.007    0.000    0.007    0.000 base.py:214(active)
     6214    0.007    0.000    0.047    0.000 lexer.py:615(wrap)
9982/7982    0.007    0.000    0.014    0.000 utils.py:74(deserialize)
     4752    0.007    0.000    0.014    0.000 runtime.py:262(call)
    62441    0.007    0.000    0.007    0.000 node.py:88(full_path)
