         11830273 function calls (11535543 primitive calls) in 2.844 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.845    2.845 transpile.py:273(exec)
        1    0.000    0.000    2.844    2.844 py2cpp.py:93(transpile)
  66814/1    0.016    0.000    2.844    2.844 error.py:38(wrapper)
   1152/1    0.001    0.000    2.844    2.844 procedure.py:63(exec)
   1152/1    0.003    0.000    2.844    2.844 procedure.py:81(__exec_impl)
11263/4778    0.007    0.000    1.685    0.000 procedure.py:117(__process)
11263/4778    0.007    0.000    1.647    0.000 procedure.py:127(__action)
11263/4778    0.026    0.000    1.631    0.000 procedure.py:186(__run_action)
11263/4778    0.008    0.000    1.564    0.000 procedure.py:201(__emit_proxy)
11263/4778    0.011    0.000    1.560    0.000 eventemitter.py:80(emit)
130450/79770    0.014    0.000    1.284    0.000 {built-in method builtins.getattr}
11263/1152    0.003    0.000    1.252    0.001 node.py:208(procedural)
     1152    0.003    0.000    1.252    0.001 node.py:239(__procedural_ast)
11263/1152    0.011    0.000    1.232    0.001 node.py:222(__procedural_flow)
38396/38076    0.020    0.000    1.230    0.000 node.py:362(_children)
     5522    0.005    0.000    1.211    0.000 node.py:269(__prop_expand)
     5522    0.003    0.000    1.202    0.000 node.py:284(__prop_of_nodes)
221983/213353    0.029    0.000    1.186    0.000 memo.py:24(wrapper)
38396/38076    0.048    0.000    1.185    0.000 query.py:140(children)
2704/2572    0.002    0.000    1.150    0.000 reflections.py:121(type_of)
2813/2509    0.009    0.000    1.116    0.000 query.py:152(factory)
1151/1088    0.000    0.000    0.934    0.001 reflections.py:261(__resolve_procedural)
1151/1088    0.000    0.000    0.933    0.001 reflections.py:299(resolve)
    90497    0.038    0.000    0.750    0.000 __init__.py:329(_compile)
     2823    0.001    0.000    0.715    0.000 __init__.py:286(compile)
     2830    0.006    0.000    0.690    0.000 _compiler.py:738(compile)
      127    0.000    0.000    0.648    0.005 py2cpp.py:372(on_move_assign)
      127    0.000    0.000    0.648    0.005 py2cpp.py:378(proc_move_assign_single)
10411/9802    0.038    0.000    0.591    0.000 di.py:144(invoke)
6158/6052    0.002    0.000    0.562    0.000 reflections.py:204(resolve)
6327/6052    0.004    0.000    0.560    0.000 reflections.py:222(__resolve_raw)
6492/6387    0.018    0.000    0.553    0.000 finder.py:99(find_by_symbolic)
11980/11897    0.005    0.000    0.547    0.000 node.py:314(_at)
     2830    0.004    0.000    0.483    0.000 _parser.py:970(parse)
2866/2830    0.005    0.000    0.475    0.000 _parser.py:451(_parse_sub)
46927/46101    0.017    0.000    0.470    0.000 query.py:32(__resolve)
2901/2831    0.174    0.000    0.469    0.000 _parser.py:511(_parse)
    28291    0.011    0.000    0.459    0.000 statement_compound.py:197(domain_name)
46927/46101    0.017    0.000    0.435    0.000 resolver.py:35(resolve)
34042/26055    0.003    0.000    0.418    0.000 proxy.py:30(__new_raw_proxy)
57341/21806    0.039    0.000    0.417    0.000 node.py:122(scope)
3182/2822    0.001    0.000    0.367    0.000 proxy.py:99(decl)
     1789    0.001    0.000    0.363    0.000 reflections.py:149(__from_reference)
    15314    0.010    0.000    0.359    0.000 node.py:106(fullyname)
12580/6982    0.006    0.000    0.342    0.000 implements.py:338(attrs)
     7017    0.008    0.000    0.335    0.000 implements.py:365(_shared_origin)
     4869    0.004    0.000    0.327    0.000 primary.py:196(receiver)
    21831    0.013    0.000    0.324    0.000 statement_compound.py:445(symbol)
    14034    0.004    0.000    0.319    0.000 implements.py:261(org_fullyname)
      128    0.000    0.000    0.310    0.002 resolve_unknown.py:73(<lambda>)
      128    0.000    0.000    0.308    0.002 resolve_unknown.py:49(resolver)
      591    0.002    0.000    0.290    0.000 py2cpp.py:447(on_relay)
     1452    0.001    0.000    0.288    0.000 primary.py:19(label)
6109/5262    0.002    0.000    0.259    0.000 proxy.py:111(attrs)
   128404    0.048    0.000    0.236    0.000 node.py:158(parent)
3137/1067    0.004    0.000    0.232    0.000 sequence.py:34(expand)
    26763    0.011    0.000    0.222    0.000 statement_compound.py:254(actual_symbol)
      821    0.001    0.000    0.207    0.000 py2cpp.py:508(on_var)
     2830    0.003    0.000    0.197    0.000 _compiler.py:571(_code)
      930    0.001    0.000    0.195    0.000 template.py:188(unpack_templates)
      665    0.001    0.000    0.180    0.000 template.py:140(returns)
   128404    0.088    0.000    0.177    0.000 query.py:68(parent)
      309    0.001    0.000    0.172    0.001 py2cpp.py:584(on_func_call)
    26816    0.014    0.000    0.162    0.000 statement_compound.py:278(_dig_embedder)
      454    0.002    0.000    0.160    0.000 reflections.py:502(on_func_call)
    54538    0.018    0.000    0.155    0.000 node.py:153(tokens)
     1235    0.003    0.000    0.146    0.000 reflections.py:426(on_relay)
       92    0.000    0.000    0.140    0.002 reflections.py:595(each_binary_operator)
164189/163960    0.015    0.000    0.140    0.000 {built-in method builtins.hasattr}
       97    0.001    0.000    0.139    0.001 reflections.py:609(proc_binary_operator)
    54538    0.025    0.000    0.131    0.000 node.py:396(_values)
      309    0.001    0.000    0.129    0.000 py2cpp.py:641(analyze_func_call_spec)
    38889    0.022    0.000    0.123    0.000 string.py:15(snakelize)
    86405    0.032    0.000    0.121    0.000 __init__.py:182(sub)
     1035    0.000    0.000    0.118    0.000 reflections.py:460(on_var)
     1641    0.001    0.000    0.115    0.000 primary.py:434(arguments)
     1664    0.002    0.000    0.115    0.000 render.py:40(render)
    11263    0.012    0.000    0.114    0.000 procedure.py:218(__make_event)
    16785    0.024    0.000    0.111    0.000 node.py:163(prop_keys)
    32567    0.009    0.000    0.109    0.000 node.py:96(classification)
      264    0.000    0.000    0.108    0.000 primary.py:446(match_feature)
    54538    0.049    0.000    0.101    0.000 query.py:206(values)
     2830    0.009    0.000    0.099    0.000 _compiler.py:509(_compile_info)
    38203    0.014    0.000    0.099    0.000 node.py:302(_by)
5750/2830    0.055    0.000    0.094    0.000 _compiler.py:37(_compile)
      109    0.000    0.000    0.094    0.001 py2cpp.py:740(proc_binary_operator)
   219431    0.064    0.000    0.093    0.000 dsn.py:28(join)
     6322    0.011    0.000    0.092    0.000 node.py:477(dirty_proxify)
     1828    0.001    0.000    0.089    0.000 reflections.py:94(type_of_property)
       86    0.000    0.000    0.088    0.001 symbol_extends.py:75(<lambda>)
    27074    0.010    0.000    0.087    0.000 statement_compound.py:225(decorators)
       86    0.000    0.000    0.086    0.001 symbol_extends.py:87(extends_for_function)
   405256    0.053    0.000    0.086    0.000 _parser.py:260(get)
  1670785    0.085    0.000    0.085    0.000 {method 'append' of 'list' objects}
     6492    0.014    0.000    0.081    0.000 finder.py:173(__make_scopes)
   112055    0.033    0.000    0.076    0.000 path.py:57(joined)
     1803    0.001    0.000    0.076    0.000 environment.py:975(get_template)
     1803    0.002    0.000    0.074    0.000 environment.py:950(_load_template)
   396787    0.047    0.000    0.074    0.000 _parser.py:175(append)
    21894    0.008    0.000    0.073    0.000 statement_compound.py:453(decorators)
  418/377    0.000    0.000    0.070    0.000 naming.py:167(__make_impl)
   877012    0.066    0.000    0.070    0.000 {built-in method builtins.isinstance}
     4932    0.003    0.000    0.068    0.000 statement_compound.py:297(symbol)
       35    0.000    0.000    0.067    0.002 reflections.py:592(on_term)
      231    0.000    0.000    0.066    0.000 py2cpp.py:104(to_accessible_name)
      603    0.000    0.000    0.065    0.000 operator.py:28(elements)
    41379    0.013    0.000    0.065    0.000 query.py:54(by)
       39    0.000    0.000    0.064    0.002 loaders.py:107(load)
   417009    0.043    0.000    0.064    0.000 _parser.py:167(__getitem__)
    20507    0.015    0.000    0.063    0.000 di.py:342(resolve)
       39    0.000    0.000    0.063    0.002 environment.py:728(compile)
      231    0.000    0.000    0.062    0.000 naming.py:155(accessible_name)
     1040    0.001    0.000    0.062    0.000 naming.py:30(domain_name)
    16291    0.005    0.000    0.061    0.000 proxy.py:93(types)
       52    0.000    0.000    0.060    0.001 reflections.py:589(on_sum)
330313/329771    0.043    0.000    0.060    0.000 {method 'join' of 'str' objects}
    31323    0.019    0.000    0.059    0.000 embed.py:197(dig_for_method)
      530    0.000    0.000    0.058    0.000 reflections.py:454(on_class_ref)
       69    0.000    0.000    0.057    0.001 py2cpp.py:734(on_sum)
   111115    0.035    0.000    0.057    0.000 dsn.py:16(elements)
4800/3410    0.001    0.000    0.056    0.000 implements.py:314(org_fullyname)
    86698    0.056    0.000    0.056    0.000 {method 'sub' of 're.Pattern' objects}
      220    0.000    0.000    0.054    0.000 literal.py:115(values)
     6327    0.050    0.000    0.052    0.000 {built-in method builtins.__build_class__}
