         12545431 function calls (12180308 primitive calls) in 3.812 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
3425/3330    0.252    0.000    0.692    0.000 _parser.py:512(_parse)
  1929212    0.130    0.000    0.130    0.000 {method 'append' of 'list' objects}
    18222    0.115    0.000    0.183    0.000 cache.py:79(add)
6801/3329    0.083    0.000    0.146    0.000 _compiler.py:37(_compile)
   450623    0.080    0.000    0.118    0.000 _parser.py:176(append)
   460647    0.077    0.000    0.129    0.000 _parser.py:261(get)
   873375    0.076    0.000    0.078    0.000 {built-in method builtins.isinstance}
   168428    0.073    0.000    0.101    0.000 dsn.py:28(join)
16547/16462    0.072    0.000    0.707    0.000 di.py:140(invoke)
394823/394127    0.062    0.000    0.093    0.000 {method 'join' of 'str' objects}
    78727    0.061    0.000    0.061    0.000 {method 'sub' of 're.Pattern' objects}
700043/693221    0.058    0.000    0.059    0.000 {built-in method builtins.len}
   474589    0.057    0.000    0.086    0.000 _parser.py:168(__getitem__)
   467461    0.053    0.000    0.053    0.000 _parser.py:240(__next)
   212345    0.047    0.000    0.047    0.000 {method 'split' of 'str' objects}
    81833    0.046    0.000    1.103    0.000 __init__.py:280(_compile)
    57815    0.043    0.000    0.067    0.000 _parser.py:372(_escape)
18297/15935    0.039    0.000    0.803    0.000 resolver.py:35(resolve)
   117787    0.039    0.000    0.067    0.000 module.py:84(parsed)
3338/3326    0.037    0.000    0.062    0.000 _compiler.py:436(_get_literal_prefix)
6839/3370    0.035    0.000    0.038    0.000 _parser.py:178(getwidth)
65173/48106    0.034    0.000    1.796    0.000 memo2.py:37(get)
 18222/11    0.034    0.000    0.092    0.008 finder.py:90(full_pathfy)
    78336    0.032    0.000    0.132    0.000 __init__.py:179(sub)
   450539    0.032    0.000    0.032    0.000 {built-in method builtins.ord}
    62674    0.031    0.000    0.051    0.000 dsn.py:16(elements)
11012/4844    0.031    0.000    1.478    0.000 procedure.py:182(__run_action)
269080/145380    0.030    0.000    1.633    0.000 {built-in method builtins.getattr}
    15661    0.029    0.000    0.134    0.000 node.py:176(prop_keys)
22910/7411    0.028    0.000    0.055    0.000 cache.py:53(group_by)
    82642    0.028    0.000    0.065    0.000 di.py:299(__symbolize)
33050/32915    0.028    0.000    0.504    0.000 di.py:337(resolve)
    36284    0.027    0.000    0.079    0.000 module.py:29(full_joined)
     3307    0.027    0.000    0.027    0.000 _compiler.py:407(_generate_overlap_table)
67303/38958    0.025    0.000    0.050    0.000 reflection.py:331(types)
    29681    0.024    0.000    0.041    0.000 embed.py:108(get_from_method)
    88594    0.024    0.000    0.024    0.000 path.py:34(__init__)
   148960    0.023    0.000    0.037    0.000 di.py:102(_acceptable_symbol)
    34854    0.023    0.000    0.131    0.000 module.py:141(join)
1892/1891    0.023    0.000    0.028    0.000 {built-in method builtins.__build_class__}
 18222/11    0.023    0.000    0.039    0.004 entry.py:160(__loads)
    29681    0.023    0.000    0.073    0.000 embed.py:197(dig_for_method)
    33607    0.022    0.000    0.123    0.000 string.py:15(snakelize)
    15661    0.021    0.000    0.028    0.000 node.py:208(__embed_classes)
   208896    0.020    0.000    0.020    0.000 {method 'pop' of 'list' objects}
   148076    0.020    0.000    0.020    0.000 {method 'get' of 'dict' objects}
    37359    0.020    0.000    0.051    0.000 path.py:10(join)
    32012    0.019    0.000    0.130    0.000 finder.py:161(__each_find_raw)
